Stock Symbol,Stock URL
ASTRAL,https://www.screener.in/company/ASTRAL/consolidated/
IDFCFIRSTB,https://www.screener.in/company/IDFCFIRSTB/consolidated/
PETRONET,https://www.screener.in/company/PETRONET/
BANKINDIA,https://www.screener.in/company/BANKINDIA/consolidated/
HUDCO,https://www.screener.in/company/HUDCO/consolidated/
PREMIERENE,https://www.screener.in/company/PREMIERENE/consolidated/
CENTRALBK,https://www.screener.in/company/CENTRALBK/consolidated/
BSE,https://www.screener.in/company/BSE/consolidated/
SUNDARMFIN,https://www.screener.in/company/SUNDARMFIN/consolidated/
COROMANDEL,https://www.screener.in/company/COROMANDEL/consolidated/
SJVN,https://www.screener.in/company/SJVN/consolidated/
COCHINSHIP,https://www.screener.in/company/COCHINSHIP/
FEDERALBNK,https://www.screener.in/company/FEDERALBNK/consolidated/
PAGEIND,https://www.screener.in/company/PAGEIND/
COFORGE,https://www.screener.in/company/COFORGE/consolidated/
AUBANK,https://www.screener.in/company/AUBANK/
VMM,https://www.screener.in/company/VMM/consolidated/
MOTILALOFS,https://www.screener.in/company/MOTILALOFS/consolidated/
LLOYDSME,https://www.screener.in/company/LLOYDSME/
BDL,https://www.screener.in/company/BDL/
KPITTECH,https://www.screener.in/company/KPITTECH/consolidated/
TATAELXSI,https://www.screener.in/company/TATAELXSI/
GVT&D,https://www.screener.in/company/GVT&D/
GLENMARK,https://www.screener.in/company/GLENMARK/consolidated/
GLAXO,https://www.screener.in/company/GLAXO/consolidated/
ACC,https://www.screener.in/company/ACC/consolidated/
FORTIS,https://www.screener.in/company/FORTIS/consolidated/
PAYTM,https://www.screener.in/company/PAYTM/consolidated/
AWL,https://www.screener.in/company/AWL/
NAM-INDIA,https://www.screener.in/company/NAM-INDIA/consolidated/
HONAUT,https://www.screener.in/company/HONAUT/
OLAELEC,https://www.screener.in/company/OLAELEC/consolidated/
FLUOROCHEM,https://www.screener.in/company/FLUOROCHEM/consolidated/
MAHABANK,https://www.screener.in/company/MAHABANK/consolidated/
BIOCON,https://www.screener.in/company/BIOCON/consolidated/
UPL,https://www.screener.in/company/UPL/consolidated/
ESCORTS,https://www.screener.in/company/ESCORTS/consolidated/
JUBLFOOD,https://www.screener.in/company/JUBLFOOD/consolidated/
APLAPOLLO,https://www.screener.in/company/APLAPOLLO/consolidated/
EXIDEIND,https://www.screener.in/company/EXIDEIND/consolidated/
SONACOMS,https://www.screener.in/company/SONACOMS/consolidated/
TATATECH,https://www.screener.in/company/TATATECH/consolidated/
LTFOODS,https://www.screener.in/company/LTFOODS/consolidated/
GUJGASLTD,https://www.screener.in/company/GUJGASLTD/
360ONE,https://www.screener.in/company/360ONE/consolidated/
3MINDIA,https://www.screener.in/company/3MINDIA/
MFSL,https://www.screener.in/company/MFSL/consolidated/
KEI,https://www.screener.in/company/KEI/
AIAENG,https://www.screener.in/company/AIAENG/consolidated/
DEEPAKNTR,https://www.screener.in/company/DEEPAKNTR/consolidated/
NATIONALUM,https://www.screener.in/company/NATIONALUM/
BLUESTARCO,https://www.screener.in/company/BLUESTARCO/consolidated/
NIACL,https://www.screener.in/company/NIACL/consolidated/
PSB,https://www.screener.in/company/PSB/
APARINDS,https://www.screener.in/company/APARINDS/consolidated/
AJANTPHARM,https://www.screener.in/company/AJANTPHARM/consolidated/
IPCALAB,https://www.screener.in/company/IPCALAB/consolidated/
LICHSGFIN,https://www.screener.in/company/LICHSGFIN/consolidated/
NLCINDIA,https://www.screener.in/company/NLCINDIA/consolidated/
MARUTI,https://www.screener.in/company/MARUTI/consolidated/
IRB,https://www.screener.in/company/IRB/consolidated/
CRISIL,https://www.screener.in/company/CRISIL/consolidated/
GODREJIND,https://www.screener.in/company/GODREJIND/consolidated/
DALBHARAT,https://www.screener.in/company/DALBHARAT/consolidated/
SYNGENE,https://www.screener.in/company/SYNGENE/consolidated/
ENDURANCE,https://www.screener.in/company/ENDURANCE/consolidated/
METROBRAND,https://www.screener.in/company/METROBRAND/consolidated/
JKCEMENT,https://www.screener.in/company/JKCEMENT/consolidated/
KAYNES,https://www.screener.in/company/KAYNES/consolidated/
TATAINVEST,https://www.screener.in/company/TATAINVEST/consolidated/
IKS,https://www.screener.in/company/IKS/consolidated/
IGL,https://www.screener.in/company/IGL/
ABFRL,https://www.screener.in/company/ABFRL/consolidated/
APOLLOTYRE,https://www.screener.in/company/APOLLOTYRE/consolidated/
FIRSTCRY,https://www.screener.in/company/FIRSTCRY/consolidated/
STARHEALTH,https://www.screener.in/company/STARHEALTH/
GODIGIT,https://www.screener.in/company/GODIGIT/
MRPL,https://www.screener.in/company/MRPL/consolidated/
EMAMILTD,https://www.screener.in/company/EMAMILTD/consolidated/
KPRMILL,https://www.screener.in/company/KPRMILL/consolidated/
CHOLAHLDNG,https://www.screener.in/company/CHOLAHLDNG/consolidated/
SUNTV,https://www.screener.in/company/SUNTV/consolidated/
CDSL,https://www.screener.in/company/CDSL/consolidated/
MANYAVAR,https://www.screener.in/company/MANYAVAR/
BANDHANBNK,https://www.screener.in/company/BANDHANBNK/
GLAND,https://www.screener.in/company/GLAND/consolidated/
GODFRYPHLP,https://www.screener.in/company/GODFRYPHLP/consolidated/
MEDANTA,https://www.screener.in/company/MEDANTA/consolidated/
MSUMI,https://www.screener.in/company/MSUMI/
BRIGADE,https://www.screener.in/company/BRIGADE/consolidated/
NBCC,https://www.screener.in/company/NBCC/consolidated/
HINDCOPPER,https://www.screener.in/company/HINDCOPPER/
POONAWALLA,https://www.screener.in/company/POONAWALLA/consolidated/
PPLPHARMA,https://www.screener.in/company/PPLPHARMA/consolidated/
SUVENPHAR,https://www.screener.in/company/SUVENPHAR/consolidated/
JBCHEPHARM,https://www.screener.in/company/JBCHEPHARM/consolidated/
DELHIVERY,https://www.screener.in/company/DELHIVERY/consolidated/
GILLETTE,https://www.screener.in/company/GILLETTE/
CARBORUNIV,https://www.screener.in/company/CARBORUNIV/consolidated/
ABREL,https://www.screener.in/company/ABREL/consolidated/
BASF,https://www.screener.in/company/BASF/
ZFCVINDIA,https://www.screener.in/company/ZFCVINDIA/
AEGISLOG,https://www.screener.in/company/AEGISLOG/consolidated/
ITI,https://www.screener.in/company/ITI/
RADICO,https://www.screener.in/company/RADICO/
SUNDRMFAST,https://www.screener.in/company/SUNDRMFAST/consolidated/
TIMKEN,https://www.screener.in/company/TIMKEN/
TATACHEM,https://www.screener.in/company/TATACHEM/consolidated/
CROMPTON,https://www.screener.in/company/CROMPTON/consolidated/
ISEC,https://www.screener.in/company/ISEC/consolidated/
JYOTICNC,https://www.screener.in/company/JYOTICNC/consolidated/
SUMICHEM,https://www.screener.in/company/SUMICHEM/
LALPATHLAB,https://www.screener.in/company/LALPATHLAB/consolidated/
INOXWIND,https://www.screener.in/company/INOXWIND/consolidated/
HSCL,https://www.screener.in/company/HSCL/consolidated/
LAURUSLABS,https://www.screener.in/company/LAURUSLABS/consolidated/
EMCURE,https://www.screener.in/company/EMCURE/consolidated/
TVSHLTD,https://www.screener.in/company/TVSHLTD/consolidated/
GRINDWELL,https://www.screener.in/company/GRINDWELL/consolidated/
AIIL,https://www.screener.in/company/AIIL/
WHIRLPOOL,https://www.screener.in/company/WHIRLPOOL/consolidated/
SKFINDIA,https://www.screener.in/company/SKFINDIA/
526851,https://www.screener.in/company/526851/
HATSUN,https://www.screener.in/company/HATSUN/
NHPC,https://www.screener.in/company/NHPC/consolidated/
NATCOPHARM,https://www.screener.in/company/NATCOPHARM/consolidated/
KEC,https://www.screener.in/company/KEC/consolidated/
RATNAMANI,https://www.screener.in/company/RATNAMANI/consolidated/
PFIZER,https://www.screener.in/company/PFIZER/
EIHOTEL,https://www.screener.in/company/EIHOTEL/consolidated/
CESC,https://www.screener.in/company/CESC/consolidated/
KIOCL,https://www.screener.in/company/KIOCL/
PELATRO,https://www.screener.in/company/PELATRO/consolidated/
POLYMED,https://www.screener.in/company/POLYMED/consolidated/
ANGELONE,https://www.screener.in/company/ANGELONE/consolidated/
PNBHOUSING,https://www.screener.in/company/PNBHOUSING/
IGIL,https://www.screener.in/company/IGIL/
CASTROLIND,https://www.screener.in/company/CASTROLIND/
KANSAINER,https://www.screener.in/company/KANSAINER/consolidated/
NUVAMA,https://www.screener.in/company/NUVAMA/consolidated/
IRCON,https://www.screener.in/company/IRCON/consolidated/
JWL,https://www.screener.in/company/JWL/
