Return on Equity,Stockname,Return on Equity.1
3 Years,PAGEIND,45%
Last Year,PAGEIND,38%
10 Years,PARAS,%
5 Years,PARAS,9%
3 Years,PARAS,8%
Last Year,PARAS,7%
10 Years,PERSISTENT,20%
5 Years,PERSISTENT,21%
3 Years,PERSISTENT,24%
Last Year,PERSISTENT,24%
10 Years,PIDILITIND,24%
5 Years,PIDILITIND,22%
3 Years,PIDILITIND,21%
Last Year,PIDILITIND,23%
10 Years,PIIND,20%
5 Years,PIIND,18%
3 Years,PIIND,18%
Last Year,PIIND,21%
10 Years,POLYCAB,19%
5 Years,POLYCAB,21%
3 Years,POLYCAB,21%
Last Year,POLYCAB,23%
10 Years,PRINCEPIPE,%
5 Years,PRINCEPIPE,16%
3 Years,PRINCEPIPE,14%
Last Year,PRINCEPIPE,11%
10 Years,RAILTEL,%
5 Years,RAILTEL,13%
3 Years,RAILTEL,13%
Last Year,RAILTEL,15%
10 Years,RAYMOND,14%
5 Years,RAYMOND,19%
3 Years,RAYMOND,31%
Last Year,RAYMOND,45%
10 Years,REDTAPE,%
5 Years,REDTAPE,%
3 Years,REDTAPE,%
Last Year,REDTAPE,31%
10 Years,RELAXO,16%
5 Years,RELAXO,14%
3 Years,RELAXO,11%
Last Year,RELAXO,10%
10 Years,RELIANCE,10%
5 Years,RELIANCE,9%
3 Years,RELIANCE,9%
Last Year,RELIANCE,9%
10 Years,ROSSARI,%
5 Years,ROSSARI,16%
3 Years,ROSSARI,14%
Last Year,ROSSARI,13%
10 Years,ROUTE,%
5 Years,ROUTE,19%
3 Years,ROUTE,17%
Last Year,ROUTE,18%
10 Years,RVNL,%
5 Years,RVNL,19%
3 Years,RVNL,20%
Last Year,RVNL,20%
10 Years,SBICARD,24%
5 Years,SBICARD,23%
3 Years,SBICARD,23%
Last Year,SBICARD,22%
10 Years,SBIN,9%
5 Years,SBIN,13%
3 Years,SBIN,16%
Last Year,SBIN,17%
10 Years,SIEMENS,%
5 Years,SIEMENS,12%
3 Years,SIEMENS,14%
Last Year,SIEMENS,16%
10 Years,SONACOMS,%
5 Years,SONACOMS,20%
3 Years,SONACOMS,20%
Last Year,SONACOMS,21%
10 Years,SPICELEC,-8%
5 Years,SPICELEC,-4%
3 Years,SPICELEC,-5%
Last Year,SPICELEC,-17%
10 Years,SRF,19%
5 Years,SRF,20%
3 Years,SRF,19%
Last Year,SRF,12%
10 Years,SUNPHARMA,14%
5 Years,SUNPHARMA,14%
3 Years,SUNPHARMA,16%
Last Year,SUNPHARMA,17%
10 Years,TATACONSUM,6%
5 Years,TATACONSUM,7%
3 Years,TATACONSUM,7%
Last Year,TATACONSUM,8%
10 Years,TATAELXSI,35%
5 Years,TATAELXSI,35%
3 Years,TATAELXSI,37%
Last Year,TATAELXSI,34%
10 Years,TATAINVEST,2%
5 Years,TATAINVEST,1%
3 Years,TATAINVEST,1%
Last Year,TATAINVEST,2%
10 Years,TATAMOTORS,9%
5 Years,TATAMOTORS,6%
3 Years,TATAMOTORS,15%
Last Year,TATAMOTORS,49%
10 Years,TATAPOWER,7%
5 Years,TATAPOWER,9%
3 Years,TATAPOWER,11%
Last Year,TATAPOWER,11%
10 Years,TATATECH,%
5 Years,TATATECH,19%
3 Years,TATATECH,22%
Last Year,TATATECH,22%
10 Years,TCS,40%
5 Years,TCS,44%
3 Years,TCS,47%
Last Year,TCS,52%
10 Years,TECHM,18%
5 Years,TECHM,17%
3 Years,TECHM,16%
Last Year,TECHM,9%
10 Years,TIINDIA,%
5 Years,TIINDIA,25%
3 Years,TIINDIA,27%
Last Year,TIINDIA,26%
10 Years,TITAGARH,2%
5 Years,TITAGARH,7%
3 Years,TITAGARH,12%
Last Year,TITAGARH,18%
10 Years,TITAN,26%
5 Years,TITAN,27%
3 Years,TITAN,30%
Last Year,TITAN,33%
10 Years,TORNTPHARM,23%
5 Years,TORNTPHARM,21%
3 Years,TORNTPHARM,21%
Last Year,TORNTPHARM,24%
10 Years,TRENT,8%
5 Years,TRENT,9%
3 Years,TRENT,15%
Last Year,TRENT,27%
10 Years,TVSMOTOR,23%
5 Years,TVSMOTOR,22%
3 Years,TVSMOTOR,24%
Last Year,TVSMOTOR,27%
10 Years,UBL,11%
5 Years,UBL,9%
3 Years,UBL,9%
Last Year,UBL,10%
10 Years,UNITDSPR,15%
5 Years,UNITDSPR,18%
3 Years,UNITDSPR,20%
Last Year,UNITDSPR,21%
10 Years,UNOMINDA,16%
5 Years,UNOMINDA,15%
3 Years,UNOMINDA,17%
Last Year,UNOMINDA,19%
10 Years,VBL,23%
5 Years,VBL,25%
3 Years,VBL,30%
Last Year,VBL,35%
10 Years,VINATIORGA,%
5 Years,VINATIORGA,%
3 Years,VINATIORGA,19%
Last Year,VINATIORGA,14%
10 Years,MANYAVAR,%
5 Years,MANYAVAR,25%
3 Years,MANYAVAR,30%
Last Year,MANYAVAR,27%
10 Years,VOLTAS,11%
5 Years,VOLTAS,8%
3 Years,VOLTAS,6%
Last Year,VOLTAS,4%
10 Years,WESTLIFE,1%
5 Years,WESTLIFE,4%
3 Years,WESTLIFE,11%
Last Year,WESTLIFE,12%
10 Years,WIPRO,18%
5 Years,WIPRO,17%
3 Years,WIPRO,17%
Last Year,WIPRO,14%
10 Years,YASHO,%
5 Years,YASHO,%
3 Years,YASHO,30%
Last Year,YASHO,22%
10 Years,ZENTEC,%
5 Years,ZENTEC,18%
3 Years,ZENTEC,18%
Last Year,ZENTEC,33%
