Compounded Sales Growth,Stockname,Compounded Sales Growth.1
10 Years,M&M,7%
5 Years,M&M,6%
3 Years,M&M,23%
TTM,M&M,12%
10 Years,MANKIND,%
5 Years,MANKIND,%
3 Years,MANKIND,18%
TTM,MANKIND,16%
10 Years,MAPMYINDIA,%
5 Years,MAPMYINDIA,23%
3 Years,MAPMYINDIA,36%
TTM,MAPMYINDIA,28%
10 Years,MARICO,7%
5 Years,MARICO,6%
3 Years,MARICO,6%
TTM,MARICO,1%
10 Years,MARUTI,12%
5 Years,MARUTI,11%
3 Years,MARUTI,26%
TTM,MARUTI,17%
10 Years,MAZDOCK,%
5 Years,MAZDOCK,15%
3 Years,MAZDOCK,33%
TTM,MAZDOCK,24%
10 Years,METROBRAND,14%
5 Years,METROBRAND,15%
3 Years,METROBRAND,43%
TTM,METROBRAND,8%
10 Years,MOLDTECH,15%
5 Years,MOLDTECH,12%
3 Years,MOLDTECH,25%
TTM,MOLDTECH,6%
10 Years,MOLDTKPAC,11%
5 Years,MOLDTKPAC,12%
3 Years,MOLDTKPAC,13%
TTM,MOLDTKPAC,0%
10 Years,MOTHERSON,12%
5 Years,MOTHERSON,9%
3 Years,MOTHERSON,20%
TTM,MOTHERSON,26%
10 Years,MTARTECH,%
5 Years,MTARTECH,%
3 Years,MTARTECH,33%
TTM,MTARTECH,-12%
10 Years,MUFTI,%
5 Years,MUFTI,%
3 Years,MUFTI,32%
TTM,MUFTI,9%
10 Years,MUTHOOTFIN,%
5 Years,MUTHOOTFIN,15%
3 Years,MUTHOOTFIN,9%
TTM,MUTHOOTFIN,28%
10 Years,NAUKRI,16%
5 Years,NAUKRI,17%
3 Years,NAUKRI,31%
TTM,NAUKRI,7%
10 Years,NAVINFLUOR,16%
5 Years,NAVINFLUOR,16%
3 Years,NAVINFLUOR,21%
TTM,NAVINFLUOR,-3%
10 Years,NAZARA,%
5 Years,NAZARA,46%
3 Years,NAZARA,36%
TTM,NAZARA,1%
10 Years,NEOGEN,25%
5 Years,NEOGEN,24%
3 Years,NEOGEN,27%
TTM,NEOGEN,0%
10 Years,NESTLEIND,10%
5 Years,NESTLEIND,17%
3 Years,NESTLEIND,22%
TTM,NESTLEIND,7%
10 Years,NETWEB,%
5 Years,NETWEB,41%
3 Years,NETWEB,72%
TTM,NETWEB,87%
10 Years,PAGEIND,14%
5 Years,PAGEIND,10%
3 Years,PAGEIND,17%
TTM,PAGEIND,0%
10 Years,PARAS,%
5 Years,PARAS,10%
3 Years,PARAS,21%
TTM,PARAS,26%
10 Years,PERSISTENT,19%
5 Years,PERSISTENT,24%
3 Years,PERSISTENT,33%
TTM,PERSISTENT,16%
10 Years,PIDILITIND,11%
5 Years,PIDILITIND,12%
3 Years,PIDILITIND,19%
TTM,PIDILITIND,4%
10 Years,PIIND,17%
5 Years,PIIND,22%
3 Years,PIIND,19%
TTM,PIIND,14%
10 Years,POLYCAB,16%
5 Years,POLYCAB,18%
3 Years,POLYCAB,27%
TTM,POLYCAB,24%
10 Years,PRINCEPIPE,%
5 Years,PRINCEPIPE,10%
3 Years,PRINCEPIPE,7%
TTM,PRINCEPIPE,-2%
10 Years,RAILTEL,%
5 Years,RAILTEL,21%
3 Years,RAILTEL,24%
TTM,RAILTEL,30%
10 Years,RAYMOND,7%
5 Years,RAYMOND,7%
3 Years,RAYMOND,38%
TTM,RAYMOND,-6%
10 Years,REDTAPE,%
5 Years,REDTAPE,%
3 Years,REDTAPE,%
TTM,REDTAPE,22%
10 Years,RELAXO,9%
5 Years,RELAXO,5%
3 Years,RELAXO,7%
TTM,RELAXO,2%
10 Years,RELIANCE,8%
5 Years,RELIANCE,10%
3 Years,RELIANCE,24%
TTM,RELIANCE,7%
10 Years,ROSSARI,%
5 Years,ROSSARI,29%
3 Years,ROSSARI,37%
TTM,ROSSARI,17%
10 Years,ROUTE,%
5 Years,ROUTE,37%
3 Years,ROUTE,42%
TTM,ROUTE,9%
10 Years,RVNL,%
5 Years,RVNL,17%
3 Years,RVNL,12%
TTM,RVNL,-4%
10 Years,SBICARD,28%
5 Years,SBICARD,19%
3 Years,SBICARD,22%
TTM,SBICARD,20%
10 Years,SBIN,9%
5 Years,SBIN,12%
3 Years,SBIN,16%
TTM,SBIN,21%
10 Years,SIEMENS,%
5 Years,SIEMENS,9%
3 Years,SIEMENS,25%
TTM,SIEMENS,17%
10 Years,SONACOMS,%
5 Years,SONACOMS,35%
3 Years,SONACOMS,27%
TTM,SONACOMS,19%
10 Years,SPICELEC,-15%
5 Years,SPICELEC,-15%
3 Years,SPICELEC,-9%
TTM,SPICELEC,-33%
10 Years,SRF,13%
5 Years,SRF,13%
3 Years,SRF,16%
TTM,SRF,-7%
10 Years,SUNPHARMA,12%
5 Years,SUNPHARMA,11%
3 Years,SUNPHARMA,13%
TTM,SUNPHARMA,9%
10 Years,TATACONSUM,7%
5 Years,TATACONSUM,16%
3 Years,TATACONSUM,9%
TTM,TATACONSUM,11%
10 Years,TATAELXSI,16%
5 Years,TATAELXSI,17%
3 Years,TATAELXSI,25%
TTM,TATAELXSI,11%
10 Years,TATAINVEST,6%
5 Years,TATAINVEST,17%
3 Years,TATAINVEST,33%
TTM,TATAINVEST,14%
10 Years,TATAMOTORS,7%
5 Years,TATAMOTORS,8%
3 Years,TATAMOTORS,21%
TTM,TATAMOTORS,18%
10 Years,TATAPOWER,6%
5 Years,TATAPOWER,16%
3 Years,TATAPOWER,23%
TTM,TATAPOWER,14%
10 Years,TATATECH,%
5 Years,TATATECH,12%
3 Years,TATATECH,29%
TTM,TATATECH,16%
10 Years,TCS,11%
5 Years,TCS,10%
3 Years,TCS,14%
TTM,TCS,5%
10 Years,TECHM,11%
5 Years,TECHM,8%
3 Years,TECHM,11%
TTM,TECHM,-4%
10 Years,TIINDIA,%
5 Years,TIINDIA,24%
3 Years,TIINDIA,41%
TTM,TIINDIA,16%
10 Years,TITAGARH,20%
5 Years,TITAGARH,20%
3 Years,TITAGARH,36%
TTM,TITAGARH,18%
10 Years,TITAN,17%
5 Years,TITAN,21%
3 Years,TITAN,33%
TTM,TITAN,22%
10 Years,TORNTPHARM,10%
5 Years,TORNTPHARM,7%
3 Years,TORNTPHARM,10%
TTM,TORNTPHARM,11%
10 Years,TRENT,18%
5 Years,TRENT,36%
3 Years,TRENT,68%
TTM,TRENT,53%
10 Years,TVSMOTOR,17%
5 Years,TVSMOTOR,14%
3 Years,TVSMOTOR,26%
TTM,TVSMOTOR,20%
10 Years,UBL,7%
5 Years,UBL,5%
3 Years,UBL,24%
TTM,UBL,13%
10 Years,UNITDSPR,1%
5 Years,UNITDSPR,4%
3 Years,UNITDSPR,12%
TTM,UNITDSPR,5%
10 Years,UNOMINDA,23%
5 Years,UNOMINDA,19%
3 Years,UNOMINDA,30%
TTM,UNOMINDA,25%
10 Years,VBL,22%
5 Years,VBL,26%
3 Years,VBL,35%
TTM,VBL,21%
10 Years,VINATIORGA,%
5 Years,VINATIORGA,%
3 Years,VINATIORGA,26%
TTM,VINATIORGA,-3%
10 Years,MANYAVAR,%
5 Years,MANYAVAR,11%
3 Years,MANYAVAR,34%
TTM,MANYAVAR,-3%
10 Years,VOLTAS,9%
5 Years,VOLTAS,12%
3 Years,VOLTAS,18%
TTM,VOLTAS,39%
10 Years,WESTLIFE,12%
5 Years,WESTLIFE,11%
3 Years,WESTLIFE,34%
TTM,WESTLIFE,2%
10 Years,WIPRO,8%
5 Years,WIPRO,9%
3 Years,WIPRO,13%
TTM,WIPRO,-3%
10 Years,YASHO,%
5 Years,YASHO,%
3 Years,YASHO,18%
TTM,YASHO,-4%
10 Years,ZENTEC,25%
5 Years,ZENTEC,37%
3 Years,ZENTEC,100%
TTM,ZENTEC,79%
