Stock Price CAGR,Stockname,Stock Price CAGR.1
3 Years,KALYANKJIL,109%
1 Year,KALYANKJIL,167%
10 Years,KAYNES,%
5 Years,KAYNES,%
3 Years,KAYNES,%
1 Year,KAYNES,191%
10 Years,KEI,63%
5 Years,KEI,56%
3 Years,KEI,81%
1 Year,KEI,75%
10 Years,KOTAKBANK,14%
5 Years,KOTAKBANK,4%
3 Years,KOTAKBANK,1%
1 Year,KOTAKBANK,2%
10 Years,KPIGREEN,%
5 Years,KPIGREEN,159%
3 Years,KPIGREEN,260%
1 Year,KPIGREEN,254%
10 Years,KPITTECH,%
5 Years,KPITTECH,83%
3 Years,KPITTECH,71%
1 Year,KPITTECH,58%
10 Years,KSCL,2%
5 Years,KSCL,18%
3 Years,KSCL,21%
1 Year,KSCL,88%
10 Years,LALPATHLAB,%
5 Years,LALPATHLAB,23%
3 Years,LALPATHLAB,-6%
1 Year,LALPATHLAB,47%
10 Years,LATENTVIEW,%
5 Years,LATENTVIEW,%
3 Years,LATENTVIEW,%
1 Year,LATENTVIEW,16%
10 Years,LT,13%
5 Years,LT,21%
3 Years,LT,30%
1 Year,LT,35%
10 Years,LTIM,%
5 Years,LTIM,28%
3 Years,LTIM,4%
1 Year,LTIM,9%
10 Years,LTTS,%
5 Years,LTTS,27%
3 Years,LTTS,11%
1 Year,LTTS,22%
10 Years,LXCHEM,%
5 Years,LXCHEM,%
3 Years,LXCHEM,-10%
1 Year,LXCHEM,6%
10 Years,M&M,15%
5 Years,M&M,40%
3 Years,M&M,53%
1 Year,M&M,83%
10 Years,MANKIND,%
5 Years,MANKIND,%
3 Years,MANKIND,%
1 Year,MANKIND,25%
10 Years,MAPMYINDIA,%
5 Years,MAPMYINDIA,%
3 Years,MAPMYINDIA,%
1 Year,MAPMYINDIA,36%
10 Years,MARICO,17%
5 Years,MARICO,11%
3 Years,MARICO,8%
1 Year,MARICO,20%
10 Years,MARUTI,16%
5 Years,MARUTI,15%
3 Years,MARUTI,21%
1 Year,MARUTI,29%
10 Years,MAZDOCK,%
5 Years,MAZDOCK,%
3 Years,MAZDOCK,176%
1 Year,MAZDOCK,166%
10 Years,METROBRAND,%
5 Years,METROBRAND,%
3 Years,METROBRAND,%
1 Year,METROBRAND,21%
10 Years,MOLDTECH,32%
5 Years,MOLDTECH,34%
3 Years,MOLDTECH,41%
1 Year,MOLDTECH,-34%
10 Years,MOLDTKPAC,29%
5 Years,MOLDTKPAC,24%
3 Years,MOLDTKPAC,17%
1 Year,MOLDTKPAC,-18%
10 Years,MOTHERSON,12%
5 Years,MOTHERSON,28%
3 Years,MOTHERSON,17%
1 Year,MOTHERSON,97%
10 Years,MTARTECH,%
5 Years,MTARTECH,%
3 Years,MTARTECH,11%
1 Year,MTARTECH,-23%
10 Years,MUFTI,%
5 Years,MUFTI,%
3 Years,MUFTI,%
1 Year,MUFTI,%
10 Years,MUTHOOTFIN,26%
5 Years,MUTHOOTFIN,24%
3 Years,MUTHOOTFIN,7%
1 Year,MUTHOOTFIN,48%
10 Years,NAUKRI,26%
5 Years,NAUKRI,28%
3 Years,NAUKRI,11%
1 Year,NAUKRI,77%
10 Years,NAVINFLUOR,39%
5 Years,NAVINFLUOR,39%
3 Years,NAVINFLUOR,-4%
1 Year,NAVINFLUOR,-25%
10 Years,NAZARA,%
5 Years,NAZARA,%
3 Years,NAZARA,5%
1 Year,NAZARA,36%
10 Years,NEOGEN,%
5 Years,NEOGEN,37%
3 Years,NEOGEN,19%
1 Year,NEOGEN,1%
10 Years,NESTLEIND,16%
5 Years,NESTLEIND,16%
3 Years,NESTLEIND,10%
1 Year,NESTLEIND,16%
10 Years,NETWEB,%
5 Years,NETWEB,%
3 Years,NETWEB,%
1 Year,NETWEB,183%
10 Years,PAGEIND,18%
5 Years,PAGEIND,18%
3 Years,PAGEIND,10%
1 Year,PAGEIND,2%
10 Years,PARAS,%
5 Years,PARAS,%
3 Years,PARAS,%
1 Year,PARAS,84%
10 Years,PERSISTENT,32%
5 Years,PERSISTENT,79%
3 Years,PERSISTENT,45%
1 Year,PERSISTENT,100%
10 Years,PIDILITIND,24%
5 Years,PIDILITIND,17%
3 Years,PIDILITIND,11%
1 Year,PIDILITIND,23%
10 Years,PIIND,26%
5 Years,PIIND,32%
3 Years,PIIND,12%
1 Year,PIIND,18%
10 Years,POLYCAB,%
5 Years,POLYCAB,64%
3 Years,POLYCAB,52%
1 Year,POLYCAB,40%
10 Years,PRINCEPIPE,%
5 Years,PRINCEPIPE,%
3 Years,PRINCEPIPE,-2%
1 Year,PRINCEPIPE,-12%
10 Years,RAILTEL,%
5 Years,RAILTEL,%
3 Years,RAILTEL,55%
1 Year,RAILTEL,182%
10 Years,RAYMOND,21%
5 Years,RAYMOND,37%
3 Years,RAYMOND,94%
1 Year,RAYMOND,54%
10 Years,REDTAPE,%
5 Years,REDTAPE,%
3 Years,REDTAPE,%
1 Year,REDTAPE,40%
10 Years,RELAXO,23%
5 Years,RELAXO,13%
3 Years,RELAXO,-14%
1 Year,RELAXO,-17%
10 Years,RELIANCE,21%
5 Years,RELIANCE,20%
3 Years,RELIANCE,14%
1 Year,RELIANCE,16%
10 Years,ROSSARI,%
5 Years,ROSSARI,%
3 Years,ROSSARI,-12%
1 Year,ROSSARI,12%
10 Years,ROUTE,%
5 Years,ROUTE,%
3 Years,ROUTE,-8%
1 Year,ROUTE,0%
10 Years,RVNL,%
5 Years,RVNL,88%
3 Years,RVNL,171%
1 Year,RVNL,365%
10 Years,SBICARD,%
5 Years,SBICARD,%
3 Years,SBICARD,-12%
1 Year,SBICARD,-17%
10 Years,SBIN,13%
5 Years,SBIN,23%
3 Years,SBIN,25%
1 Year,SBIN,42%
10 Years,SIEMENS,24%
5 Years,SIEMENS,44%
3 Years,SIEMENS,48%
1 Year,SIEMENS,99%
10 Years,SONACOMS,%
5 Years,SONACOMS,%
3 Years,SONACOMS,13%
1 Year,SONACOMS,21%
10 Years,SPICELEC,33%
5 Years,SPICELEC,114%
3 Years,SPICELEC,118%
1 Year,SPICELEC,251%
10 Years,SRF,34%
5 Years,SRF,33%
3 Years,SRF,11%
1 Year,SRF,9%
